Descrição;Categoria
Salgados Fatec;Delivery
Mercado no débito;Mercado
Daiso;Casa
Burger King;Delivery
Museu da língua portuguesa;Lazer e Entretenimento
Lanchonete;Delivery
Almoço sábado fatec;Delivery
Mitsue;Outros Gastos
Adiantamento da Marilia;Receitas
Diferença estimada entre a conta e a planilha;Financeiro
Capinha momoi;Despesas Pessoais
Cosplay;Despesas Pessoais
Cinema + pizza;Lazer e Entretenimento
Batom momoi;Despesas Pessoais
Chocolate;Mercado
Vivo Fibra;Essenciais
Momoi - Anuidade Marilia;Financeiro
Vale;Receitas
Empréstimo mora sem noção;Financeiro
Comida solo sagrado;Delivery
Fone momoi;Despesas Pessoais
Amor aos pedaços;Delivery
Almoço shops;Delivery
Saque Mimi party;Lazer e Entretenimento
Album Jurassic WOrld;Lazer e Entretenimento
X;Outros Gastos
Bella July;Delivery
Sifão;Casa
Poupança;Investimentos e Poupança
BK momoi;Delivery
Quem disse berenice;Despesas Pessoais
Figurinhas e mangá;Despesas Pessoais
Comidinhas;Delivery
Mangas;Lazer e Entretenimento
13º João;Receitas
Capacetes;Lazer e Entretenimento
Processador de alimentos;Casa
Taxis;Transporte
Remédio;Mercado
Loungerie;Despesas Pessoais
04 - Luz;Essenciais
04 - Luz Deb Aut C6;Essenciais
07 - Oi;Essenciais
07 - Oi Deb Aut C6;Essenciais
10 - Financiamento Itau;Essenciais
10 - Luz;Essenciais
12 - Netflix;Lazer e Entretenimento
13;Receitas
13 Marília;Receitas
13 Momoi;Receitas
13 salario;Receitas
13º;Receitas
13º Marilia;Receitas
15 - Condomínio;Essenciais
15 - Oi;Essenciais
15 - Tarifa Bradesco;Financeiro
17 - Vivo;Essenciais
20 - Gás;Essenciais
2028 Extra Facil Azeve;Mercado
21 - Telefone/Internet;Essenciais
21 - Vivo;Essenciais
21 - Vivo Deb Aut C6;Essenciais
25 - Tim;Essenciais
26 - Luz;Essenciais
2Produros 1/6;Despesas Pessoais
2Produros 2/6;Despesas Pessoais
2Produros 3/6;Despesas Pessoais
2Produros 4/6;Despesas Pessoais
2Produros 5/6;Despesas Pessoais
2Produros 6/6;Despesas Pessoais
2Produtos Mlivre;Despesas Pessoais
30 - Luz;Essenciais
30 ant - Luz;Essenciais
3DPrint;Despesas Pessoais
5 - Telefone/Internet;Essenciais
7 - Aluguel;Essenciais
7 - Taiko;Lazer e Entretenimento
8 odiados;Lazer e Entretenimento
99 Marilia;Transporte
99 Pop;Transporte
99* Pop 01dez 08h02min;Transporte
99* Pop 01dez 15h32min;Transporte
99* Pop 01dez 17h11min;Transporte
99* Pop 28nov 18h28min;Transporte
99* Pop 30nov 18h57min;Transporte
99* Taxi 02dez 19h54mi;Transporte
99Osasco;Transporte
99taxi;Transporte
99Taxi;Transporte
99taxis;Transporte
9Taxi;Transporte
A Casa do Artista;Despesas Pessoais
A mineira;Delivery
A Positiva;Outros Gastos
A Way Out;Lazer e Entretenimento
Abono + Antec. Ferias;Receitas
Absorvente;Mercado
Absorventes;Mercado
Absorventes Marilia;Mercado
Academia;Lazer e Entretenimento
Academia JV;Lazer e Entretenimento
Academia Momoi;Lazer e Entretenimento
Academia restante;Lazer e Entretenimento
Açaí;Delivery
Açai Shiva;Delivery
Acendedor;Casa
Acendedor de fogão;Casa
Acerta conta corrente;Financeiro
Acerto;Financeiro
Acerto 12/06/2019;Financeiro
Acerto Brad;Financeiro
Acerto BRAD;Financeiro
Acerto Bradesco;Financeiro
Acerto C6;Financeiro
Acerto cartão;Financeiro
Acerto Cartão;Financeiro
Acerto CC;Financeiro
Acerto cc;Financeiro
Acerto CC 22/01;Financeiro
Acerto CC Junho 18/06;Financeiro
Acerto CC Marilia;Financeiro
Acerto conta;Financeiro
Acerto Conta;Financeiro
Acerto Corrente;Financeiro
Acerto corrente;Financeiro
Acerto Credito;Financeiro
Acerto de saldo;Financeiro
Acerto Deb;Financeiro
Acerto débito;Financeiro
Acerto fim de mês;Financeiro
Acerto fim do mês;Financeiro
Acerto final;Financeiro
Acerto Inter;Financeiro
Acerto IPTU 2020 a abr 2021;Financeiro
Acerto já com MK;Financeiro
Acerto leozão;Financeiro
Acerto Marilia;Financeiro
Acerto N;Financeiro
Acerto NU;Financeiro
Acerto nu;Financeiro
Acerto Nu;Financeiro
Acerto NuB;Financeiro
Acerto NUBANK;Financeiro
Acerto Nubank;Financeiro
Acerto Nuconta;Financeiro
Acerto PJ;Financeiro
Acerto Poupança;Financeiro
Acerto PP;Financeiro
Acerto PP na CC;Financeiro
Acessórios bike;Despesas Pessoais
Acessórios bike 1/12;Despesas Pessoais
Acessórios bike 10/12;Despesas Pessoais
Acessórios bike 11/12;Despesas Pessoais
