Descrição;Categoria
Bolsa tattoo;Despesas Pessoais
Bolsas;Despesas Pessoais
BOM;Transporte
Bom negocio;Outros Gastos
Bomba gatinhos;Casa
Bondinho;Lazer e Entretenimento
Boneca Marilia;Despesas Pessoais
Bônus;Receitas
Bônus 1/3;Receitas
Bônus 1/4;Receitas
Bônus 2/3;Receitas
Bônus 3/3;Receitas
Bonus Marilia;Financeiro
Bônus PP;Financeiro
Bota;Despesas Pessoais
Boteco com o Shiva;Lazer e Entretenimento
Boteco do Shiva;Lazer e Entretenimento
Boticário 2/3;Despesas Pessoais
Box 1/6;Despesas Pessoais
Box 2/6;Despesas Pessoais
Box 3/6;Despesas Pessoais
Box 4/6;Despesas Pessoais
Box 5/6;Despesas Pessoais
Box 6/6;Despesas Pessoais
Bradesco Marilia;Financeiro
Bradesco Marilia 15;Financeiro
Bravecto 1/10;Pets
Bravecto 1/2;Pets
Bravecto 1/3;Pets
Bravecto 10/10;Pets
Bravecto 2/10;Pets
Bravecto 2/2;Pets
Bravecto 2/3;Pets
Bravecto 3/10;Pets
Bravecto 3/3;Pets
Bravecto 4/10;Pets
Bravecto 5/10;Pets
Bravecto 6/10;Pets
Bravecto 7/10;Pets
Bravecto 8/10;Pets
Bravecto 9/10;Pets
Bravus;Delivery
Braz Leme Point;Lazer e Entretenimento
Brechó;Despesas Pessoais
Breda Marilia;Lazer e Entretenimento
Brigadeiros;Delivery
Brigadeiros Marilia;Delivery
Brinde Aconthe;Outros Gastos
Brinquedo dog 1/6;Pets
Brinquedo dog 2;Pets
Brinquedo dog 2/6;Pets
Brinquedo dog 3/6;Pets
Brinquedo dog 4/6;Pets
Brinquedo dog 5/6;Pets
Brinquedo dog 6/6;Pets
Bruno;Despesas Pessoais
Bruno Poços;Lazer e Entretenimento
Bruno Rolê;Lazer e Entretenimento
Bubble Kill;Delivery
Bujão Biz;Veículo
BUNICO;Transporte
Bunico momoi;Transporte
BURGER KING APP;Delivery
Burger King Shopp Cid;Delivery
Burger King Shopping e;Delivery
Byakko - Bala de coco;Delivery
Byakko - café da manhã;Delivery
Byakko - Habbibs;Delivery
Byakko - Okonomiyaki;Delivery
Byakko - refri;Delivery
CA;Outros Gastos
Cabelereiro;Essenciais
Cabelo;Essenciais
Cabify;Transporte
Cabify Cobasi;Transporte
Cabify Tefo;Transporte
Cabo USB;Despesas Pessoais
Cabos;Despesas Pessoais
Cabos Marilia;Despesas Pessoais
Cabos USB;Despesas Pessoais
Caça vazamentos 1/10;Casa
Caça vazamentos 10/10;Casa
Caça vazamentos 2/10;Casa
Caça vazamentos 3/10;Casa
Caça vazamentos 4/10;Casa
Caça vazamentos 5/10;Casa
Caça vazamentos 6/10;Casa
Caça vazamentos 7/10;Casa
Caça vazamentos 8/10;Casa
Caça vazamentos 9/10;Casa
CACAU SHOW;Delivery
Cacau show;Delivery
Cacau Show;Delivery
Cachaça;Despesas Pessoais
Cachorródromo;Pets
Cadeiras;Casa
Cadeiras 1/10;Casa
Cadeiras 10/10;Casa
Cadeiras 2/10;Casa
Cadeiras 3/10;Casa
Cadeiras 4/10;Casa
Cadeiras 5/10;Casa
Cadeiras 6/10;Casa
Cadeiras 7/10;Casa
Cadeiras 8/10;Casa
Cadeiras 9/10;Casa
Cadeiras de PC 1/12;Casa
Cadeiras de PC 10/12;Casa
Cadeiras de PC 11/12;Casa
Cadeiras de PC 12/12;Casa
Cadeiras de PC 2/12;Casa
Cadeiras de PC 3/12;Casa
Cadeiras de PC 4/12;Casa
Cadeiras de PC 5/12;Casa
Cadeiras de PC 6/12;Casa
Cadeiras de PC 7/12;Casa
Cadeiras de PC 8/12;Casa
Cadeiras de PC 9/12;Casa
Cadillac;Delivery
Cadillac Burger;Delivery
Caedu 1/3;Despesas Pessoais
Caedu 2/3;Despesas Pessoais
Caedu 3/3;Despesas Pessoais
Café;Delivery
Cafe Bento;Delivery
Café da manha;Delivery
Café da manhã;Delivery
Café da Manhã;Delivery
café da manhã;Delivery
Café da manhã 20/01/2016;Delivery
Café da manhã 22/09/2015;Delivery
Café da manhã 23/09/2015;Delivery
Café da manhã 26/01/2016;Delivery
Café da manhã Akima;Delivery
Café da manhã Anderson;Delivery
Café da manhã Dani;Delivery
Café da manhã Douglas;Delivery
Café da manhã Fatec;Delivery
Café da manhã Jaqueline;Delivery
Café da manhã Karine;Delivery
Café da manhã Marilia;Delivery
Café da manhã MIS;Delivery
Café da manhã Pedro;Delivery
Café da manhã Regina;Delivery
CAFE DA MANHA UNDOKAI;Delivery
Café da manhã YB;Delivery
Café da tarde;Mercado
Café Liberté;Delivery
Caffe Attuale Restaura;Delivery
Caixa de sim;Outros Gastos
Caixa lixo Natal;Casa
Caixas Mudança YB;Outros Gastos
Caixas organizadoras 1/12;Casa
Caixas organizadoras 10/12;Casa
Caixas organizadoras 11/12;Casa
Caixas organizadoras 12/12;Casa
Caixas organizadoras 2/12;Casa
Caixas organizadoras 3/12;Casa
Caixas organizadoras 4/12;Casa
Caixas organizadoras 5/12;Casa
Caixas organizadoras 6/12;Casa
Caixas organizadoras 7/12;Casa
Caixas organizadoras 8/12;Casa
Caixas organizadoras 9/12;Casa
Caixas YB;Outros Gastos
Caixe de limpeza;Outros Gastos
Caixinha Conceição;Outros Gastos
Caixinha HH;Financeiro
Caixinha Lixeiro;Outros Gastos
Caixinha Lixeiros;Outros Gastos
Caktus;Delivery
Calça 1/3;Despesas Pessoais
Calça 2/3;Despesas Pessoais
Calça 3/3;Despesas Pessoais
Calça momoi;Despesas Pessoais
Calças;Despesas Pessoais
Calças 1/3;Despesas Pessoais
Calças 1/6;Despesas Pessoais
Calças 2/3;Despesas Pessoais
Calças 2/6;Despesas Pessoais
Calças 3/3;Despesas Pessoais
Calças 3/6;Despesas Pessoais
Calças 4/6;Despesas Pessoais
Calças 5/6;Despesas Pessoais
Calças 6/6;Despesas Pessoais
Calças João;Despesas Pessoais
Calças novas 1/3;Despesas Pessoais
Calças novas 2/3;Despesas Pessoais
Calças novas 3/3;Despesas Pessoais
Caldo de cada;Delivery
Caldo de cana;Delivery
Caldo de Cana Marina;Delivery
Caldo de cana pedalada;Delivery
Calzones;Delivery
Camicado;Casa
Camisas e bota;Despesas Pessoais
Camisas Raijin;Despesas Pessoais
Camiseta DBM;Despesas Pessoais
Camiseta Finn;Despesas Pessoais
Camiseta momoi;Despesas Pessoais
Camisetas;Despesas Pessoais
Camisetas 1/3;Despesas Pessoais
Camisetas 2/3;Despesas Pessoais
Camisetas 3/3;Despesas Pessoais
Camisetas YB;Despesas Pessoais
Campos (P/ GUILHERME);Lazer e Entretenimento
Campos (P/ SENSEI);Lazer e Entretenimento
Caneca seu mario;Despesas Pessoais
Canetas;Despesas Pessoais
Canva 1/12;Financeiro
Canva 10/12;Financeiro
Canva 11/12;Financeiro
Canva 12/12;Financeiro
Canva 2/12;Financeiro
Canva 3/12;Financeiro
Canva 4/12;Financeiro
Canva 5/12;Financeiro
Canva 6/12;Financeiro
Canva 7/12;Financeiro
Canva 8/12;Financeiro
Canva 9/12;Financeiro
Canva Refund;Financeiro
Capa Dog Verm e sup;Pets
Capa moto;Veículo
Capacete Corte;Despesas Pessoais
Capacete Marilia;Despesas Pessoais
Capacete momoi 1/3;Veículo
Capacete momoi 2/3;Veículo
Capacete momoi 3/3;Veículo
Capacete novo;Despesas Pessoais
Capinhas;Despesas Pessoais
Capinhas do celular;Despesas Pessoais
Cappta;Despesas Pessoais
CAPPTA JOSE WILLIANS;Despesas Pessoais
Caramanti;Outros Gastos
Caramanti Caramanti;Outros Gastos
Carburador 1/7;Veículo
Carburador 2/7;Veículo
Carburador 3/7;Veículo
Carburador 4/7;Veículo
Carburador 5/7;Veículo
Carburador 6/7;Veículo
Carburador 7/7;Veículo
Card Captors;Lazer e Entretenimento
Carenagem Biz;Veículo
Carga Bunico;Transporte
Carlos Avenida;Outros Gastos
Carlos Bakery;Delivery
Carne louca;Mercado
Carne Shiva;Mercado
Carnes;Mercado
Carpool;Transporte
Carrefour;Mercado
Carreto;Casa
Carreto Nuconta;Casa
Carro;Veículo
Cartão de crédito Marilia;Despesas Pessoais
Cartão de crédito que faltou;Despesas Pessoais
Cartão Dr. Consulta 1/6;Saúde
Cartão Dr. Consulta 2/6;Saúde
Cartão Dr. Consulta 3/6;Saúde
Cartão Dr. Consulta 4/6;Saúde
Cartão Dr. Consulta 5/6;Saúde
Cartão Dr. Consulta 6/6;Saúde
Cartão Marilia;Despesas Pessoais
cartão Marilia;Despesas Pessoais
Cartão Momoi;Despesas Pessoais
Cartão momoi;Despesas Pessoais
Cartão secundário;Despesas Pessoais
Carteirinhas;Despesas Pessoais
Cartelas Bingo;Lazer e Entretenimento
Cartões momoi;Despesas Pessoais
Cartõeszinhos Marilia;Despesas Pessoais
Cartório;Financeiro
Cartório Sergio;Financeiro
Cartório Transf Carro;Financeiro
Cartório YB;Financeiro
Cartuchos de tinta;Casa
Carvão;Mercado
Casa 1/3;Casa
Casa 2/3;Casa
Casa 3/3;Casa
Casa Bueno;Mercado
Casa de Paes Jd Sp;Delivery
Casa do artista;Despesas Pessoais
Casa do norte;Mercado
Casa própria;Essenciais
Casa são pedro;Casa
Casamento Monique;Despesas Pessoais
Casas André Luiz;Casa
Casas andré Luiz;Casa
Case momoi 1/12;Despesas Pessoais
Case momoi 10/12;Despesas Pessoais
Case momoi 11/12;Despesas Pessoais
Case momoi 12/12;Despesas Pessoais
Case momoi 2/12;Despesas Pessoais
Case momoi 3/12;Despesas Pessoais
Case momoi 4/12;Despesas Pessoais
Case momoi 5/12;Despesas Pessoais
Case momoi 6/12;Despesas Pessoais
Case momoi 7/12;Despesas Pessoais
Case momoi 8/12;Despesas Pessoais
Case momoi 9/12;Despesas Pessoais
Cashback C6;Financeiro
Cassia modas;Despesas Pessoais
Castello Park;Lazer e Entretenimento
Castilho;Casa
Castração;Pets
Caterine;Outros Gastos
Catho 1/3;Educação
Catho Jão;Educação
Catho Online 2/3;Educação
Catho Online 3/3;Educação
CC 12/12;Financeiro
CC Brad Junho momoi;Financeiro
CC Momoi;Financeiro
CEC;Casa
CeC;Casa
CEC 1/2;Casa
CeC 1/2;Casa
CEC 1/4;Casa
CEC 2/2;Casa
CeC 2/2;Casa
CEC 2/4;Casa
CEC 3/4;Casa
CEC 4/4;Casa
CeC Osasco 1/2;Casa
CeC Osasco 2/2;Casa
Cel Marilia 1/12;Despesas Pessoais
Cel Marilia 2/12;Despesas Pessoais
Cel Marilia 3/12;Despesas Pessoais
Cel Marilia 4/12;Despesas Pessoais
Cel Marilia 5/12;Despesas Pessoais
Cel Marilia 7/12;Despesas Pessoais
Celta 1/4;Veículo
Celta 1/5;Veículo
Celta 2/4;Veículo
Celta 2/5;Veículo
Celta 3/4;Veículo
Celta 3/5;Veículo
Celta 4/4;Veículo
Celta 4/5;Veículo
Celta 5/5;Veículo
Celtinha;Veículo
Celtinha 1/6;Veículo
Celtinha 2/6;Veículo
Celtinha 3/6;Veículo
Celtinha 4/6;Veículo
Celtinha 5/6;Veículo
Celtinha 6/6;Veículo
Celular 1/10;Despesas Pessoais
Celular 10/10;Despesas Pessoais
Celular 2/10;Despesas Pessoais
Celular 3/10;Despesas Pessoais
Celular 4/10;Despesas Pessoais
Celular 5/10;Despesas Pessoais
Celular 6/10;Despesas Pessoais
Celular 7-8-9-10/10;Despesas Pessoais
Celular 7/10;Despesas Pessoais
Celular 8/10;Despesas Pessoais
Celular 9/10;Despesas Pessoais
Celular acidente 1/10;Despesas Pessoais
Celular acidente 10/10;Despesas Pessoais
Celular acidente 2/10;Despesas Pessoais
Celular acidente 3/10;Despesas Pessoais
Celular acidente 4/10;Despesas Pessoais
Celular acidente 5/10;Despesas Pessoais
Celular acidente 6/10;Despesas Pessoais
Celular acidente 7/10;Despesas Pessoais
Celular acidente 8/10;Despesas Pessoais
Celular acidente 9/10;Despesas Pessoais
Celular João 1/10;Despesas Pessoais
Celular João 3/10;Despesas Pessoais
Celular momoi 1/10;Despesas Pessoais
Celular momoi 10/10;Despesas Pessoais
Celular momoi 2/10;Despesas Pessoais
Celular momoi 3/10;Despesas Pessoais
Celular momoi 4/10;Despesas Pessoais
Celular momoi 5/10;Despesas Pessoais
Celular momoi 6/10;Despesas Pessoais
Celular momoi 7/10;Despesas Pessoais
Celular momoi 8/10;Despesas Pessoais
Celular momoi 9/10;Despesas Pessoais
Celular novo;Despesas Pessoais
Centauro 1/5;Despesas Pessoais
Centauro 2/5;Despesas Pessoais
Centauro 3/5;Despesas Pessoais
Centauro Ce 9/10;Despesas Pessoais
Center Castilho Matpco;Casa
Cera momoi;Despesas Pessoais
Certidao Protesto YB;Financeiro
Certificado PJ 1/3;Essenciais
Certificado PJ 2/3;Essenciais
Certificado PJ 3/3;Essenciais
Cerveja;Lazer e Entretenimento
Cerveja Sitio;Lazer e Entretenimento
Cesta Bradesco;Financeiro
Cesta Marilia;Financeiro
Chaveiro;Casa
Chaveiro e Pin;Despesas Pessoais
Chaves;Casa
Chaves praia;Casa
Cheque especial;Financeiro
ChicoRei 1/4;Despesas Pessoais
ChicoRei 2/4;Despesas Pessoais
ChicoRei 3/4;Despesas Pessoais
ChicoRei 4/4;Despesas Pessoais
China in box;Delivery
Chinelo;Despesas Pessoais
CHINES NOJENTO;Delivery
Chip Marilia;Despesas Pessoais
Chip YB;Financeiro
Chobits 5;Lazer e Entretenimento
Chobits 8;Lazer e Entretenimento
Chocolandia;Mercado
Chocolandia 1/2;Mercado
Chocolandia 1/3;Mercado
Chocolandia 2/2;Mercado
Chocolandia 2/3;Mercado
Chocolandia 3/3;Mercado
Chouxcream;Delivery
Chromecast 2/3;Casa
Chromecast 3/3;Casa
Chromecast 3x-Dez;Casa
Churras Adrié;Mercado
Churras Brendonardo;Mercado
Churras Bruno;Mercado
Churras Carol;Mercado
Churras Jão;Mercado
Churras Karine;Mercado
Churras Leo;Mercado
Churras Mariana;Mercado
Churras Masa;Mercado
Churras Minaw;Mercado
Churras Renan;Mercado
Churras Sarah;Mercado
Churras Shiva;Mercado
Churras Wes;Mercado
Churrascaria;Mercado
Churrasco;Mercado
Churrasco Carol;Mercado
Churrasco Cris;Mercado
Churrasco Gorois;Mercado
Churrasco Leandro;Mercado
Churrasco Leo;Mercado
Churrasco Lib;Mercado
Churrasco Mãe;Mercado
Churrasco Mario;Mercado
Churrasco Onois;Mercado
Churrasco Onois Bruno;Mercado
Churrasco Onois Jão;Mercado
Churrasco Pedro;Mercado
Churrasco PT;Mercado
Churrasco PT Bruno;Mercado
Churrasco PT Karine;Mercado
Churrasco PT Leobrenda;Mercado
Churrasco PT Minaw Eric;Mercado
Churrasco Sarah;Mercado
Churrasco Tatinha;Mercado
Churrasqueira;Mercado
Churrasquinho;Mercado
Churros;Delivery
Chuveiro;Casa
Cibele de Camargo 1/3;Despesas Pessoais
Cibele de Camargo 3/3;Despesas Pessoais
Cinema;Lazer e Entretenimento
Cinema 1/2;Lazer e Entretenimento
Cinema 1917;Lazer e Entretenimento
Cinema 2/2;Lazer e Entretenimento
Cinema Batman;Lazer e Entretenimento
Cinema Brendaleo;Lazer e Entretenimento
Cinema Bruno;Lazer e Entretenimento
Cinema Jão;Lazer e Entretenimento
Cinema Ka;Lazer e Entretenimento
Cinema Leo;Lazer e Entretenimento
Cinema Leozão;Lazer e Entretenimento
Cinema Mamãe;Lazer e Entretenimento
Cinema Marilia;Lazer e Entretenimento
Cinema momoi;Lazer e Entretenimento
Cinema Onois;Lazer e Entretenimento
Cinema Paula;Lazer e Entretenimento
Cinema Pedro;Lazer e Entretenimento
Cinema seu mario;Lazer e Entretenimento
Cinema Sonic;Lazer e Entretenimento
Cineminha The Martian;Lazer e Entretenimento
Cinto;Despesas Pessoais
Citara;Despesas Pessoais
Citur;Lazer e Entretenimento
Claudia Ferreira;Outros Gastos
Claudio;Outros Gastos
Clicando 1/6;Casa
Clicando 2/6;Casa
Clicando 3/6;Casa
Clicando 4/6;Casa
Clicando 5/6;Casa
Clicando 6/6;Casa
Cobasi 1/2;Pets
Cobasi 1/3;Pets
Cobasi 1/6;Pets
Cobasi 2/2;Pets
Cobasi 2/3;Pets
Cobasi 2/6;Pets
Cobasi 3/3;Pets
Cobasi 3/6;Pets
Cobasi 4/6;Pets
Cobasi 5/6;Pets
Cobasi 6/6;Pets
Cobasi Au;Pets
Cobasi B 1/3;Pets
Cobasi B 2/3;Pets
Cobasi B 3/3;Pets
Cobasi Dona Marlene;Pets
Cobasi P;Pets
Cobasi Poup;Pets
Cobasi Shampoos;Pets
Cobertura de chocolate;Mercado
Cobrir Marilia;Financeiro
Coca;Mercado
Coca no cinema;Delivery
Coisas;Outros Gastos
Coisas Amélia 1/3;Pets
Coisas Amélia 2/3;Pets
Coisas Amélia 3/3;Pets
Coisas celtinha;Veículo
Coisas celtinha 1/3;Veículo
Coisas celtinha 2/3;Veículo
Coisas celtinha 3/3;Veículo
Coisas chinesas;Casa
Coisas da casa;Casa
Coisas da Marilia na praia;Despesas Pessoais
Coisas da momoi;Despesas Pessoais
Coisas de café da manhã;Mercado
Coisas de festa;Mercado
Coisas de rede;Casa
Coisas do Walmart;Mercado
Coisas dog;Pets
Coisas festa;Despesas Pessoais
Coisas Joli;Casa
Coisas M Livre;Despesas Pessoais
Coisas Mercado Livre;Despesas Pessoais
Coisas Mlivre 1/3;Despesas Pessoais
Coisas Mlivre 2/3;Despesas Pessoais
Coisas Mlivre 3/3;Despesas Pessoais
Coisas momoi;Despesas Pessoais
Coisas moto;Veículo
Coisas Osasco;Casa
Coisas praia 1/6;Casa
Coisas praia 2/6;Casa
Coisas praia 3/6;Casa
Coisas praia 4/6;Casa
Coisas praia 5/6;Casa
Coisas praia 6/6;Casa
Coisas wesley;Despesas Pessoais
Coisas YB;Outros Gastos
Coisinhas de natal;Casa
Coisinhas do extra;Mercado
Coisinhas momoi;Despesas Pessoais
Coisinhas momoi 2;Despesas Pessoais
Cola piscina;Casa
Colcha momoi;Casa
Colchão;Casa
Coleira dog;Pets
Coleira dog 1/3;Pets
Coleira Dog 1/6;Pets
Coleira dog 2/3;Pets
Coleira Dog 2/6;Pets
Coleira dog 3/3;Pets
Coleira Dog 3/6;Pets
Coleira Dog 4/6;Pets
Coleira Dog 5/6;Pets
Coleira Dog 6/6;Pets
Colmeia;Mercado
Colméia;Mercado
Comanda Castelo Park;Lazer e Entretenimento
Combustível;Transporte
Combustível mamãe;Transporte
Comeia;Mercado
Comida;Mercado
Comida festival;Delivery
Comida festival do japão;Delivery
Comida UpAbc;Delivery
Comida X;Delivery
Comidas Bunka;Delivery
Comidas praia;Delivery
Comidas UpAbc;Delivery
Comidinhas no extra;Mercado
Comidinhas para viagem;Mercado
Comiss;Essenciais
Comissão AP;Essenciais
Companhia Distrib;Mercado
Complemento seguro;Veículo
Compra do WiiU;Lazer e Entretenimento
Compra FII;Investimentos e Poupança
Compra Marilia;Despesas Pessoais
Compra mercado livre;Outros Gastos
Compras da casa;Casa
Compras de roupa;Despesas Pessoais
Compras Marilia;Despesas Pessoais
Compressor 1/10;Veículo
Compressor 1/4;Veículo
Compressor 10/10;Veículo
Compressor 2/10;Veículo
Compressor 2/4;Veículo
Compressor 3/10;Veículo
Compressor 3/4;Veículo
Compressor 4/10;Veículo
Compressor 4/4;Veículo
Compressor 5/10;Veículo
Compressor 6/10;Veículo
Compressor 7/10;Veículo
Compressor 8/10;Veículo
Compressor 9/10;Veículo
Comprinhas Marilia;Despesas Pessoais
Conc;Financeiro
Conc C6;Financeiro
Conc CC;Financeiro
Conchiglione;Mercado
Conciliação;Financeiro
Conciliação CC;Financeiro
Conciliação Débito;Financeiro
Conciliação fim mês;Financeiro
Conciliação Nuconta;Financeiro
Conciliação PP;Financeiro
Condomínio 15;Essenciais
Condomínio atras Jan;Essenciais
Conecte Tudo;Lazer e Entretenimento
Confeitaria;Mercado
Conselheiro Grill;Delivery
Consignado;Financeiro
Consul;Casa
Consulta Amelia;Pets
Consulta Dog;Pets
Consulta médica 1/3;Saúde
Consulta médica 2/2;Saúde
Consulta médica 3/3;Saúde
Consulta Momoi 1/6;Saúde
Consulta Momoi 2/6;Saúde
Consulta Momoi 3/6;Saúde
Consulta Momoi 4/6;Saúde
Consulta Momoi 5/6;Saúde
Consulta Momoi 6/6;Saúde
Consulta Oftalmo;Saúde
Consumido rescisão;Financeiro
Consumo Praiajin;Lazer e Entretenimento
Consumo rescisão;Financeiro
Conta Vivo;Essenciais
Contabilizei;Essenciais
Contabilizei Débito;Essenciais
Control;Lazer e Entretenimento
Controle;Despesas Pessoais
Controle garagem;Casa
Controle Jão;Despesas Pessoais
Controle Marilia 5/6;Lazer e Entretenimento
Controle Marilia 6/1;Lazer e Entretenimento
Controle Marilia 6/2;Lazer e Entretenimento
Controle Marilia 6/3;Lazer e Entretenimento
Controle Marilia 6/4;Lazer e Entretenimento
Controle Marilia 6/6;Lazer e Entretenimento
Controle Momoi;Lazer e Entretenimento
Controtec;Casa
Cookie;Mercado
Cookie Keiko;Financeiro
Cookie Lari;Financeiro
Cookie Matuo;Financeiro
Cookie Melqui;Financeiro
Cookies;Financeiro
Cookies Menina do bolo;Financeiro
Cooktop;Casa
Cópia de chaves;Casa
Cópia doc carro;Veículo
Coquinha;Mercado
Coquinha momoi;Mercado
Corda;Casa
Cordão de silicone;Despesas Pessoais
Cornershop;Mercado
Correa;Outros Gastos
Correa Filhos;Outros Gastos
Correção;Financeiro
Correção cartão;Financeiro
Correia Filhos;Outros Gastos
Correio Bruno;Despesas Pessoais
Correio YB;Financeiro
Corrente Bike;Despesas Pessoais
Corrente Biz;Veículo
Cortiça YB;Financeiro
Cortinas;Casa
Cosméticos;Despesas Pessoais
cosplay;Lazer e Entretenimento
Cosplay e blazer;Lazer e Entretenimento
Costela seu mario;Mercado
Coxinhas Ragazzo;Delivery
Crédito extra;Mercado
Crédito Fraude;Financeiro
Créditou falou abril;Financeiro
Creme de leite;Mercado
Cremes Cris;Despesas Pessoais
Criaturas mágicas;Lazer e Entretenimento
Cris;Outros Gastos
Croma;Delivery
Crunchyroll;Lazer e Entretenimento
Cuecas novas;Despesas Pessoais
Curso;Educação
Curso de maquiagem;Educação
Curso Marilia 1/6;Educação
Curso Marilia 1/8;Educação
Curso Marilia 2 a 6/6;Educação
Curso Marilia 2/8;Educação
Curso Marilia 3/8;Educação
Curso Marilia 4/8;Educação
Curso Marilia 5/8;Educação
Curso Marilia 6/8;Educação
Curso Marilia 7/8;Educação
Curso Marilia 8/8;Educação
Curso PowerBI;Educação
Cursos;Educação
Cursos Dep. e Mani. 1/8;Educação
Cursos Dep. e Mani. 2/8;Educação
Cursos Dep. e Mani. 3-4-5-6-7-8/8;Educação
Cyberpunk 2077;Lazer e Entretenimento
Cyberpunk Marilia 1/3;Lazer e Entretenimento
Cyberpunk Marilia 2/3;Lazer e Entretenimento
Cyberpunk Marilia 3/3;Lazer e Entretenimento
D Burguer;Delivery
D e da Silva Informat;Casa
Dados extras;Despesas Pessoais
Daiso 1/2;Casa
Daiso 2/2;Casa
Daiso Brasil;Casa
Daiso João;Casa
Daiso Marilia;Casa
Daiso momoi;Casa
Daiso Nihongo;Casa
Dakimakura;Despesas Pessoais
Damaria;Outros Gastos
Damaris;Outros Gastos
Damasco;Despesas Pessoais
Dandara;Outros Gastos
Dani;Despesas Pessoais
Danny 1/3;Despesas Pessoais
Danny 2/3;Despesas Pessoais
Danny 3/3;Despesas Pessoais
DarkSouls 3;Lazer e Entretenimento
DBM;Lazer e Entretenimento
Death Stranding 1/3;Lazer e Entretenimento
Death Stranding 2/3;Lazer e Entretenimento
Death Stranding 3/3;Lazer e Entretenimento
Débito;Financeiro
Debora;Despesas Pessoais
Decathlon;Despesas Pessoais
Decatlhon Cris;Despesas Pessoais
Décimo Terceiro;Receitas
Décimo terceiro;Receitas
Deck;Outros Gastos
Decoração;Casa
Decoração e cantoneiras 1/2;Casa
Decoração e cantoneiras 2/2;Casa
Decoração Embu;Casa
Decoração festa da Marilia;Despesas Pessoais
Decoração natal 1/3;Casa
Decoração natal 2/3;Casa
Decoração natal 3/3;Casa
Dedetização;Casa
dedetização;Casa
Demanos;Despesas Pessoais
Denialsamaria;Outros Gastos
Dentista 1/2;Saúde
Dentista 1/3;Saúde
Dentista 2/2;Saúde
Dentista 2/3;Saúde
Dentista 3/3;Saúde
Dep Emp Pedro;Financeiro
Dep Meias S Jose;Despesas Pessoais
Dep PP;Financeiro
Dep.de Meias S.Jorge-2;Despesas Pessoais
Depósito;Financeiro
Depósito 13;Financeiro
Depósito acerto PPxCC;Financeiro
Depósito pós salário;Financeiro
Depósito PP;Financeiro
Depurador de ar;Casa
Descartáveis YB;Outros Gastos
Desconto aluguel;Financeiro
Desconto Antecipação Amazon.Com.Br Amazon S;Financeiro
Desconto Antecipação Americanas Com;Financeiro
Desconto antecipação kanui;Financeiro
Desconto Antecipação Paypal -Mobly;Financeiro
Desconto Mobly;Financeiro
Desconto Processador;Financeiro
Descontos antecipação;Financeiro
Desenho Diego;Receitas
Desenho Ju;Receitas
Desenho Luana;Receitas
Desentupidor 1/8;Casa
Desentupidor 2/8;Casa
Desentupidor 3/8;Casa
Desentupidor 4/8;Casa
Desentupidor 5/8;Casa
Desentupidor 6/8;Casa
Desentupidor 7/8;Casa
Desentupidor 8/8;Casa
Desodorante;Mercado
DESPESAS DO MÊS;Mercado
Detroit 1/3;Lazer e Entretenimento
Detroit 2/3;Lazer e Entretenimento
Detroit 3/3;Lazer e Entretenimento
Dev aplic C6;Financeiro
Dev Bruno;Financeiro
Dev conta PJ;Financeiro
Dev Emp Pedro;Financeiro
Dev Empr Jão;Financeiro
Dev Jão;Financeiro
Dev Pix YB;Financeiro
Dev PJ;Financeiro
Dev Poup;Financeiro
Dev Poup Cart YB;Financeiro
Dev PP YB Cart;Financeiro
Dev Regina;Financeiro
Dev Seu Mario;Financeiro
Dev seu Mario;Financeiro
Dev Shiva;Financeiro
Dev YB;Financeiro
Devol bolo dani;Financeiro
Devol Jão;Financeiro
Devol Mercado Livre;Financeiro
Devol saque errado;Financeiro
Devolução airdots;Financeiro
Devolução BS2;Financeiro
Devolução C6;Financeiro
Devolução Itau;Financeiro
Devolução Itaú;Financeiro
Devolução Karine;Financeiro
Devolução Marlene;Financeiro
Devolução Momoi Bingo;Financeiro
Devolução Murillo;Financeiro
Devolução poupança;Financeiro
Devoluções HH;Financeiro
Devolver Bruno;Financeiro
Devolver Marilia;Financeiro
Devolvido FII;Financeiro
Dia;Mercado
Dia da mulher;Despesas Pessoais
Dia dos namorados 1/2;Despesas Pessoais
Dia dos namorados 1/3;Despesas Pessoais
Dia dos namorados 2/2;Despesas Pessoais
Dia dos namorados 3/3;Despesas Pessoais
Dia Praia;Lazer e Entretenimento
Diarista 1;Essenciais
Diarista 2;Essenciais
DIF CC;Financeiro
DIF NU;Financeiro
Diferença;Financeiro
Diferença CC;Financeiro
Diferença NU;Financeiro
Dinheiro Marilia;Financeiro
Dinheiro parado;Financeiro
Dipirona;Mercado
Disney Plus;Lazer e Entretenimento
Disney+;Lazer e Entretenimento
Divd;Financeiro
Divertidamente;Lazer e Entretenimento
Divid;Financeiro
Dividendos;Financeiro
Do Brad;Financeiro
Dobra 1/6;Despesas Pessoais
Dobra 2/6;Despesas Pessoais
Dobra 3/6;Despesas Pessoais
Dobra 4/6;Despesas Pessoais
Dobra 5/6;Despesas Pessoais
Dobra 6/6;Despesas Pessoais
Doce de leite;Delivery
Doce festival;Delivery
Doces;Delivery
Doces Dia da Mulher;Delivery
Doces e mostarda;Mercado
Doces João;Delivery
Doces Kallas;Delivery
Doces Marilia;Delivery
Doces momoi;Delivery
Doces Sarah;Delivery
Doces YB;Despesas Pessoais
Docinho;Delivery
